
GOODS ID,Original ID,Ra,Dec,Survey,Spect. z,Quality flag
J033221.23-274554.8,GMASS1217, 03:32:21.231,-27:45:54.83,GMASS (Kurk et al. 2012),1.2251,1
J033225.58-274528.9,GMASS1388, 03:32:25.582,-27:45:28.95,GMASS (Kurk et al. 2012),0.6669,1
J033225.77-274459.3,GMASS1579, 03:32:25.772,-27:44:59.33,GMASS (Kurk et al. 2012),0.8335,1
J033226.88-274541.9,GMASS1304, 03:32:26.889,-27:45:41.91,GMASS (Kurk et al. 2012),0.3373,1
J033220.40-274542.1,GMASS1309, 03:32:20.403,-27:45:42.19,GMASS (Kurk et al. 2012),0.9143,1
J033225.77-274501.7,GMASS1581, 03:32:25.774,-27:45:01.77,GMASS (Kurk et al. 2012),0.0000,1
J033222.73-274602.5,GMASS9107, 03:32:22.740,-27:46:02.51,GMASS (Kurk et al. 2012),1.2273,1

# A total of 210 records were found matching the provided criteria.
#
# 
# 
#
